"Server Type","Storage Type","Response Type","Test Name","Custom","Req/Connections","Connections","Completed","Failed","Total Time (s)","Total transferred (bytes)","req/sec","msec/req","msec/req concurrent","KB/sec","Connect mean (ms)","Connect std (ms)","Processing mean (ms)","Processing std (ms)","Waiting mean (ms)","Waiting std (ms)","Total mean (ms)","Total std (ms)","URL"
"m3.xlarge","cache","PNG","Weighted Overlay","256x256","500","20","500","0","6.007","19848500","83.23","240.296","12.015","3226.57","0","0.2","238","104.8","238","104.8","238","104.9","http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true"
"m3.xlarge","cache","Text","Weighted Overlay","256x256","500","20","500","58","3.794","53464","131.79","151.760","7.588","13.76","0","0.1","150","24.8","150","24.8","150","24.8","http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false"
"m3.xlarge","cache","Text","Weighted Overlay","1408x1408","500","20","500","284","63.512","54229","7.87","2540.493","127.025","0.83","0","0.2","2510","237.7","2509","237.7","2510","237.6","http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false"
"m3.xlarge","local","PNG","Weighted Overlay","256x256","500","20","500","0","3.356","19848500","148.99","134.239","6.712","5775.74","0","0.2","133","23.5","132","23.5","133","23.5","http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true"
"m3.xlarge","local","Text","Weighted Overlay","256x256","500","20","500","53","3.243","53444","154.18","129.722","6.486","16.09","0","0.2","128","20.5","128","20.5","128","20.5","http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false"
"m3.xlarge","local","Text","Weighted Overlay","1408x1408","500","20","500","238","61.906","54170","8.08","2476.226","123.811","0.85","0","0.2","2447","258.1","2447","258.1","2447","258.0","http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false"
"m3.xlarge","cache","PNG","Hillshade","256x256","500","20","500","0","20.791","18210500","24.05","831.641","41.582","855.35","0","0.2","821","84.1","821","84.1","821","84.2","http://localhost:8000/hillshade-con/cache_rast1-small/5/true"
"m3.xlarge","cache","PNG","Hillshade","256x256","500","20","500","0","18.187","17181500","27.49","727.498","36.375","922.55","0","0.2","718","76.4","717","76.4","718","76.3","http://localhost:8000/hillshade/cache_rast1-small/5/true"
"m3.xlarge","local","PNG","Hillshade","256x256","500","20","500","0","20.481","18210500","24.41","819.228","40.961","868.31","0","0.2","809","74.9","809","74.9","809","74.8","http://localhost:8000/hillshade-con/local_rast1-small/5/true"
"m3.xlarge","local","PNG","Hillshade","256x256","500","20","500","0","18.072","17181500","27.67","722.882","36.144","928.44","0","0.2","713","76.5","713","76.5","713","76.4","http://localhost:8000/hillshade/local_rast1-small/5/true"
"m3.xlarge","cache","PNG","Weighted Overlay","256x256","500","20","500","0","3.470","19848500","144.11","138.780","6.939","5586.77","0","0.4","137","21.4","136","21.4","137","21.3","http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true"
"m3.xlarge","cache","Text","Weighted Overlay","256x256","500","20","500","60","3.419","53436","146.23","136.766","6.838","15.26","0","0.2","134","23.1","134","23.1","134","23.0","http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false"
"m3.xlarge","cache","Text","Weighted Overlay","1408x1408","500","20","500","397","69.591","54350","7.18","2783.628","139.181","0.76","0","0.2","2749","300.4","2749","300.5","2749","300.3","http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false"
"m3.xlarge","local","PNG","Weighted Overlay","256x256","500","20","500","0","3.495","19848500","143.05","139.814","6.991","5545.45","0","0.2","138","22.9","138","22.9","138","22.8","http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true"
"m3.xlarge","local","Text","Weighted Overlay","256x256","500","20","500","40","3.352","53452","149.15","134.095","6.705","15.57","0","0.2","132","21.3","132","21.3","132","21.2","http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false"
"m3.xlarge","local","Text","Weighted Overlay","1408x1408","500","20","500","399","68.539","54374","7.30","2741.565","137.078","0.77","0","0.2","2709","281.1","2709","281.1","2709","281.0","http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false"
"m3.xlarge","cache","PNG","Hillshade","256x256","500","20","500","0","20.517","18210500","24.37","820.694","41.035","866.76","0","0.2","810","78.7","810","78.7","810","78.6","http://localhost:8000/hillshade-con/cache_rast1-small/5/true"
"m3.xlarge","cache","PNG","Hillshade","256x256","500","20","500","0","18.142","17181500","27.56","725.665","36.283","924.88","0","0.2","716","82.5","716","82.5","716","82.4","http://localhost:8000/hillshade/cache_rast1-small/5/true"
"m3.xlarge","local","PNG","Hillshade","256x256","500","20","500","0","20.425","18210500","24.48","816.997","40.850","870.69","0","0.2","807","79.4","807","79.4","807","79.3","http://localhost:8000/hillshade-con/local_rast1-small/5/true"
"m3.xlarge","local","PNG","Hillshade","256x256","500","20","500","0","18.015","17181500","27.75","720.613","36.031","931.36","0","0.2","711","80.0","711","80.0","711","79.9","http://localhost:8000/hillshade/local_rast1-small/5/true"
"m3.xlarge","cache","PNG","Weighted Overlay","256x256","500","20","500","0","3.365","19848500","148.60","134.594","6.730","5760.53","0","0.2","133","21.5","133","21.5","133","21.4","http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true"
"m3.xlarge","cache","Text","Weighted Overlay","256x256","500","20","500","48","3.350","53455","149.26","133.994","6.700","15.58","0","0.2","132","21.4","132","21.4","132","21.4","http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false"
"m3.xlarge","cache","Text","Weighted Overlay","1408x1408","500","20","500","380","68.952","54361","7.25","2758.087","137.904","0.77","0","0.2","2726","279.8","2726","279.8","2726","279.7","http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false"
"m3.xlarge","local","PNG","Weighted Overlay","256x256","500","20","500","0","3.415","19848500","146.41","136.605","6.830","5675.71","0","0.2","135","22.1","135","22.1","135","22.0","http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true"
"m3.xlarge","local","Text","Weighted Overlay","256x256","500","20","500","60","3.334","53451","149.99","133.341","6.667","15.66","0","0.2","132","21.1","132","21.1","132","21.0","http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false"
"m3.xlarge","local","Text","Weighted Overlay","1408x1408","500","20","500","390","68.989","54362","7.25","2759.554","137.978","0.77","0","0.2","2727","281.9","2726","281.9","2727","281.8","http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false"
"m3.xlarge","cache","PNG","Hillshade","256x256","500","20","500","0","20.436","18210500","24.47","817.421","40.871","870.23","0","0.2","807","76.5","807","76.5","807","76.4","http://localhost:8000/hillshade-con/cache_rast1-small/5/true"
"m3.xlarge","cache","PNG","Hillshade","256x256","500","20","500","0","18.111","17181500","27.61","724.456","36.223","926.42","0","0.2","714","76.6","714","76.6","714","76.5","http://localhost:8000/hillshade/cache_rast1-small/5/true"
"m3.xlarge","local","PNG","Hillshade","256x256","500","20","500","0","20.271","18210500","24.67","810.826","40.541","877.31","0","0.1","800","76.2","800","76.2","800","76.1","http://localhost:8000/hillshade-con/local_rast1-small/5/true"
"m3.xlarge","local","PNG","Hillshade","256x256","500","20","500","0","18.043","17181500","27.71","721.714","36.086","929.94","0","0.2","712","76.1","712","76.1","712","76.0","http://localhost:8000/hillshade/local_rast1-small/5/true"
"m3.xlarge","cache","PNG","Weighted Overlay","256x256","500","20","500","0","3.363","19848500","148.68","134.518","6.726","5763.77","0","0.2","133","21.8","132","21.8","133","21.8","http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true"
"m3.xlarge","cache","Text","Weighted Overlay","256x256","500","20","500","454","3.342","53449","149.61","133.677","6.684","15.62","0","0.1","132","21.0","132","21.0","132","21.0","http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false"
"m3.xlarge","cache","Text","Weighted Overlay","1408x1408","500","20","500","421","71.450","54403","7.00","2857.987","142.899","0.74","0","0.2","2825","298.8","2825","298.9","2825","298.7","http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false"
"m3.xlarge","local","PNG","Weighted Overlay","256x256","500","20","500","0","3.503","19848500","142.74","140.113","7.006","5533.63","0","0.2","138","23.5","138","23.5","138","23.5","http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true"
"m3.xlarge","local","Text","Weighted Overlay","256x256","500","20","500","64","3.494","53445","143.09","139.767","6.988","14.94","0","0.2","138","23.8","138","23.8","138","23.8","http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false"
"m3.xlarge","local","Text","Weighted Overlay","1408x1408","500","20","500","413","72.110","54392","6.93","2884.399","144.220","0.74","0","0.2","2851","293.0","2851","293.0","2851","292.9","http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false"
"m3.xlarge","cache","PNG","Hillshade","256x256","500","20","500","0","20.481","18210500","24.41","819.233","40.962","868.31","0","0.2","809","78.3","809","78.3","809","78.2","http://localhost:8000/hillshade-con/cache_rast1-small/5/true"
"m3.xlarge","cache","PNG","Hillshade","256x256","500","20","500","0","18.059","17181500","27.69","722.370","36.118","929.10","0","0.2","713","79.2","713","79.2","713","79.2","http://localhost:8000/hillshade/cache_rast1-small/5/true"
"m3.xlarge","local","PNG","Hillshade","256x256","500","20","500","0","20.414","18210500","24.49","816.563","40.828","871.15","0","0.2","806","78.3","806","78.3","806","78.2","http://localhost:8000/hillshade-con/local_rast1-small/5/true"
"m3.xlarge","local","PNG","Hillshade","256x256","500","20","500","0","17.984","17181500","27.80","719.370","35.968","932.97","0","0.2","709","80.6","709","80.6","709","80.5","http://localhost:8000/hillshade/local_rast1-small/5/true"
"m3.xlarge","cache","PNG","Weighted Overlay","256x256","500","20","500","0","3.443","19848500","145.21","137.733","6.887","5629.26","0","0.2","136","23.2","136","23.2","136","23.2","http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true"
"m3.xlarge","cache","Text","Weighted Overlay","256x256","500","20","500","56","3.347","53448","149.37","133.897","6.695","15.59","0","0.2","132","21.5","132","21.5","132","21.5","http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false"
"m3.xlarge","cache","Text","Weighted Overlay","1408x1408","500","20","500","414","70.857","54394","7.06","2834.294","141.715","0.75","0","0.2","2799","295.2","2799","295.2","2799","295.0","http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false"
"m3.xlarge","local","PNG","Weighted Overlay","256x256","500","20","500","0","3.520","19848500","142.06","140.784","7.039","5507.23","0","0.2","139","21.6","139","21.6","139","21.6","http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true"
"m3.xlarge","local","Text","Weighted Overlay","256x256","500","20","500","41","3.401","53460","147.02","136.033","6.802","15.35","0","0.2","134","22.6","134","22.6","134","22.6","http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false"
"m3.xlarge","local","Text","Weighted Overlay","1408x1408","500","20","500","417","71.462","54397","7.00","2858.491","142.925","0.74","0","0.2","2825","287.5","2824","287.5","2825","287.4","http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false"
"m3.xlarge","cache","PNG","Hillshade","256x256","500","20","500","0","20.434","18210500","24.47","817.377","40.869","870.28","0","0.1","807","76.5","807","76.5","807","76.4","http://localhost:8000/hillshade-con/cache_rast1-small/5/true"
"m3.xlarge","cache","PNG","Hillshade","256x256","500","20","500","0","18.032","17181500","27.73","721.264","36.063","930.52","0","0.1","711","86.4","711","86.4","711","86.3","http://localhost:8000/hillshade/cache_rast1-small/5/true"
"m3.xlarge","local","PNG","Hillshade","256x256","500","20","500","0","20.193","18210500","24.76","807.713","40.386","880.69","0","0.1","797","78.0","797","78.0","798","78.0","http://localhost:8000/hillshade-con/local_rast1-small/5/true"
"m3.xlarge","local","PNG","Hillshade","256x256","500","20","500","0","17.964","17181500","27.83","718.573","35.929","934.01","0","0.2","709","86.9","709","86.9","709","86.8","http://localhost:8000/hillshade/local_rast1-small/5/true"
"m3.xlarge","cache","PNG","Weighted Overlay","256x256","500","20","500","0","3.387","19848500","147.63","135.475","6.774","5723.08","0","0.2","134","22.1","133","22.1","134","22.1","http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/true"
"m3.xlarge","cache","Text","Weighted Overlay","256x256","500","20","500","50","3.360","53455","148.81","134.400","6.720","15.54","0","0.2","132","21.3","132","21.3","133","21.3","http://localhost:8000/wo/cache_rast1-small/cache_rast2-small/3/7/false"
"m3.xlarge","cache","Text","Weighted Overlay","1408x1408","500","20","500","413","70.415","54386","7.10","2816.582","140.829","0.75","0","0.1","2782","289.4","2782","289.4","2782","289.3","http://localhost:8000/wo/cache_rast1-med/cache_rast2-med/3/7/false"
"m3.xlarge","local","PNG","Weighted Overlay","256x256","500","20","500","0","3.489","19848500","143.29","139.578","6.979","5554.83","0","0.2","138","22.5","137","22.5","138","22.4","http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/true"
"m3.xlarge","local","Text","Weighted Overlay","256x256","500","20","500","67","3.400","53436","147.07","135.989","6.799","15.35","0","0.2","134","22.6","134","22.6","134","22.6","http://localhost:8000/wo/local_rast1-small/local_rast2-small/3/7/false"
"m3.xlarge","local","Text","Weighted Overlay","1408x1408","500","20","500","395","70.637","54367","7.08","2825.477","141.274","0.75","0","0.1","2792","277.5","2792","277.6","2792","277.5","http://localhost:8000/wo/local_rast1-med/local_rast2-med/3/7/false"
"m3.xlarge","cache","PNG","Hillshade","256x256","500","20","500","0","20.450","18210500","24.45","817.980","40.899","869.64","0","0.2","807","81.2","807","81.2","808","81.1","http://localhost:8000/hillshade-con/cache_rast1-small/5/true"
"m3.xlarge","cache","PNG","Hillshade","256x256","500","20","500","0","18.005","17181500","27.77","720.198","36.010","931.90","0","0.2","711","83.3","710","83.3","711","83.2","http://localhost:8000/hillshade/cache_rast1-small/5/true"
"m3.xlarge","local","PNG","Hillshade","256x256","500","20","500","0","20.443","18210500","24.46","817.738","40.887","869.90","0","0.2","807","79.4","807","79.4","807","79.3","http://localhost:8000/hillshade-con/local_rast1-small/5/true"
