Server Type,Storage Type,Response Type,Custom,Req/Connections,Connections,Completed,Failed,Total Time (s),Total transferred (bytes),req/sec,msec/req,msec/req concurrent,KB/sec,Connect mean (ms),Connect std (ms),Processing mean (ms),Processing std (ms),Waiting mean (ms),Waiting std (ms),Total mean (ms),Total std (ms),URL
rob-desktop,cache,PNG,256x256,500,10,500,0,12.552,18210500,39.83,251.046,25.105,1416.77,0,0.1,249,24.7,249,24.7,249,24.7,http://localhost:8000/hillshade-con/cache_rast1-small/2/true
rob-desktop,cache,PNG,256x256,500,10,500,0,17.562,17775000,28.47,351.249,35.125,988.38,0,0,348,26.2,348,26.2,349,26.2,http://localhost:8000/hillshade/cache_rast1-small/2/true
rob-desktop,local,PNG,256x256,500,10,500,0,12.246,18210500,40.83,244.919,24.492,1452.21,0,0,243,20.1,242,20.1,243,20.1,http://localhost:8000/hillshade-con/local_rast1-small/2/true
rob-desktop,local,PNG,256x256,500,10,500,0,16.985,17775000,29.44,339.699,33.97,1021.99,0,0.1,337,26.1,337,26.1,337,26.1,http://localhost:8000/hillshade/local_rast1-small/2/true
rob-desktop,local,PNG,256x256,500,10,500,0,12.2,18210500,40.99,243.991,24.399,1457.73,0,0.1,242,20.3,242,20.3,242,20.3,http://localhost:8000/hillshade-con/block_rast1-small/2/true
rob-desktop,local,PNG,256x256,500,10,500,0,17.314,17775000,28.88,346.289,34.629,1002.54,0,0.1,343,28,343,28,343,28,http://localhost:8000/hillshade/block_rast1-small/2/true
rob-desktop,cache,PNG,256x256,500,10,500,0,12.651,18210500,39.52,253.014,25.301,1405.75,0,0,251,22.6,251,22.6,251,22.6,http://localhost:8000/hillshade-con/cache_rast1-small/2/true
rob-desktop,cache,PNG,256x256,500,10,500,0,17.023,17775000,29.37,340.462,34.046,1019.7,0,0.1,337,27.3,337,27.3,337,27.2,http://localhost:8000/hillshade/cache_rast1-small/2/true
rob-desktop,local,PNG,256x256,500,10,500,0,12.421,18210500,40.26,248.415,24.842,1431.77,0,0,246,22.9,246,22.9,246,22.9,http://localhost:8000/hillshade-con/local_rast1-small/2/true
rob-desktop,local,PNG,256x256,500,10,500,0,17.123,17775000,29.2,342.451,34.245,1013.77,0,0,339,28.9,339,28.9,339,28.9,http://localhost:8000/hillshade/local_rast1-small/2/true
rob-desktop,local,PNG,256x256,500,10,500,0,12.584,18210500,39.73,251.673,25.167,1413.24,0,0.1,250,23.1,249,23.1,250,23.1,http://localhost:8000/hillshade-con/block_rast1-small/2/true
rob-desktop,local,PNG,256x256,500,10,500,0,17.584,17775000,28.43,351.687,35.169,987.15,0,0,349,28.7,349,28.7,349,28.7,http://localhost:8000/hillshade/block_rast1-small/2/true
rob-desktop,cache,PNG,256x256,500,10,500,0,12.322,18210500,40.58,246.447,24.645,1443.2,0,0,244,20.2,244,20.2,244,20.1,http://localhost:8000/hillshade-con/cache_rast1-small/2/true
rob-desktop,cache,PNG,256x256,500,10,500,0,16.85,17775000,29.67,336.998,33.7,1030.18,0,0.1,334,26,334,26,334,25.9,http://localhost:8000/hillshade/cache_rast1-small/2/true
rob-desktop,local,PNG,256x256,500,10,500,0,12.214,18210500,40.94,244.279,24.428,1456.01,0,0.1,242,19.8,242,19.8,242,19.7,http://localhost:8000/hillshade-con/local_rast1-small/2/true
rob-desktop,local,PNG,256x256,500,10,500,0,17.831,17775000,28.04,356.614,35.661,973.51,0,0.1,353,30.5,353,30.5,353,30.5,http://localhost:8000/hillshade/local_rast1-small/2/true
rob-desktop,local,PNG,256x256,500,10,500,0,12.577,18210500,39.76,251.536,25.154,1414.01,0,0,249,19.5,249,19.5,249,19.5,http://localhost:8000/hillshade-con/block_rast1-small/2/true
rob-desktop,local,PNG,256x256,500,10,500,0,17.275,17775000,28.94,345.491,34.549,1004.85,0,0,342,27.7,342,27.7,342,27.6,http://localhost:8000/hillshade/block_rast1-small/2/true
rob-desktop,cache,PNG,256x256,500,10,500,0,12.502,18210500,39.99,250.038,25.004,1422.48,0,0.1,248,24,248,24,248,24,http://localhost:8000/hillshade-con/cache_rast1-small/2/true
rob-desktop,cache,PNG,256x256,500,10,500,0,17.058,17775000,29.31,341.151,34.115,1017.64,0,0,338,29,338,29,338,29,http://localhost:8000/hillshade/cache_rast1-small/2/true
rob-desktop,local,PNG,256x256,500,10,500,0,12.259,18210500,40.79,245.184,24.518,1450.64,0,0.1,243,19.7,243,19.7,243,19.6,http://localhost:8000/hillshade-con/local_rast1-small/2/true
rob-desktop,local,PNG,256x256,500,10,500,0,17.757,17775000,28.16,355.133,35.513,977.57,0,0.1,352,27.4,352,27.4,352,27.4,http://localhost:8000/hillshade/local_rast1-small/2/true
rob-desktop,local,PNG,256x256,500,10,500,0,12.209,18210500,40.95,244.177,24.418,1456.63,0,0.2,242,20.8,242,20.8,242,20.8,http://localhost:8000/hillshade-con/block_rast1-small/2/true
rob-desktop,local,PNG,256x256,500,10,500,0,16.841,17775000,29.69,336.822,33.682,1030.72,0,0,334,26.6,334,26.6,334,26.6,http://localhost:8000/hillshade/block_rast1-small/2/true
rob-desktop,cache,PNG,256x256,500,10,500,0,15.288,18210500,32.71,305.755,30.575,1163.26,0,0,303,24.7,303,24.7,303,24.7,http://localhost:8000/hillshade-con/cache_rast1-small/5/true
rob-desktop,cache,PNG,256x256,500,10,500,0,37.844,17181500,13.21,756.889,75.689,443.36,0,0,750,62.9,750,62.8,750,62.8,http://localhost:8000/hillshade/cache_rast1-small/5/true
rob-desktop,local,PNG,256x256,500,10,500,0,15.297,18210500,32.69,305.936,30.594,1162.57,0,0.1,303,27.9,303,27.9,303,27.8,http://localhost:8000/hillshade-con/local_rast1-small/5/true
rob-desktop,local,PNG,256x256,500,10,500,0,36.881,17181500,13.56,737.612,73.761,454.95,0,0.1,730,57.1,730,57.1,730,57.1,http://localhost:8000/hillshade/local_rast1-small/5/true
rob-desktop,local,PNG,256x256,500,10,500,0,15.753,18210500,31.74,315.059,31.506,1128.91,0,0.1,312,26.1,312,26.1,312,26.1,http://localhost:8000/hillshade-con/block_rast1-small/5/true
rob-desktop,local,PNG,256x256,500,10,500,0,35.973,17181500,13.9,719.46,71.946,466.43,0,0.1,713,53.7,713,53.7,713,53.7,http://localhost:8000/hillshade/block_rast1-small/5/true
rob-desktop,cache,PNG,256x256,500,10,500,0,15.227,18210500,32.84,304.544,30.454,1167.89,0,0.1,302,25.8,302,25.8,302,25.8,http://localhost:8000/hillshade-con/cache_rast1-small/5/true
rob-desktop,cache,PNG,256x256,500,10,500,0,36.936,17181500,13.54,738.717,73.872,454.27,0,0,732,60,732,60,732,60,http://localhost:8000/hillshade/cache_rast1-small/5/true
rob-desktop,local,PNG,256x256,500,10,500,0,15.106,18210500,33.1,302.121,30.212,1177.26,0,0,299,26.4,299,26.3,299,26.3,http://localhost:8000/hillshade-con/local_rast1-small/5/true
rob-desktop,local,PNG,256x256,500,10,500,0,37.495,17181500,13.34,749.905,74.99,447.49,0,0.1,743,63.5,742,63.5,743,63.4,http://localhost:8000/hillshade/local_rast1-small/5/true
rob-desktop,local,PNG,256x256,500,10,500,0,15.4,18210500,32.47,307.994,30.799,1154.81,0,0.1,305,29.6,305,29.6,305,29.5,http://localhost:8000/hillshade-con/block_rast1-small/5/true
rob-desktop,local,PNG,256x256,500,10,500,0,35.941,17181500,13.91,718.828,71.883,466.84,0,0,712,54.6,712,54.6,712,54.6,http://localhost:8000/hillshade/block_rast1-small/5/true
rob-desktop,cache,PNG,256x256,500,10,500,0,15.548,18210500,32.16,310.961,31.096,1143.79,0,0,309,25.8,308,25.8,309,25.8,http://localhost:8000/hillshade-con/cache_rast1-small/5/true
rob-desktop,cache,PNG,256x256,500,10,500,0,36.905,17181500,13.55,738.097,73.81,454.65,0,0,732,59.4,732,59.4,732,59.3,http://localhost:8000/hillshade/cache_rast1-small/5/true
rob-desktop,local,PNG,256x256,500,10,500,0,14.965,18210500,33.41,299.307,29.931,1188.33,0,0.1,297,22.8,297,22.8,297,22.8,http://localhost:8000/hillshade-con/local_rast1-small/5/true
rob-desktop,local,PNG,256x256,500,10,500,0,37.423,17181500,13.36,748.465,74.847,448.35,0,0,742,65.3,741,65.3,742,65.3,http://localhost:8000/hillshade/local_rast1-small/5/true
rob-desktop,local,PNG,256x256,500,10,500,0,15.27,18210500,32.74,305.394,30.539,1164.64,0,0,303,26.6,303,26.6,303,26.6,http://localhost:8000/hillshade-con/block_rast1-small/5/true
rob-desktop,local,PNG,256x256,500,10,500,0,36.469,17181500,13.71,729.38,72.938,460.08,0,0,723,51.9,723,51.9,723,51.9,http://localhost:8000/hillshade/block_rast1-small/5/true
rob-desktop,cache,PNG,256x256,50,5,50,0,2.369,1821050,21.11,236.905,47.381,750.67,0,0.1,229,52.6,229,52.6,229,52.6,http://localhost:8000/hillshade-con/cache_rast1-small/10/true
rob-desktop,cache,PNG,256x256,50,5,50,0,7.189,1681300,6.95,718.94,143.788,228.38,0,0,694,145.3,694,145.2,694,145.2,http://localhost:8000/hillshade/cache_rast1-small/10/true
rob-desktop,local,PNG,256x256,50,5,50,0,2.478,1821050,20.18,247.76,49.552,717.78,0,0.1,240,55.1,240,55.1,240,55.1,http://localhost:8000/hillshade-con/local_rast1-small/10/true
rob-desktop,local,PNG,256x256,50,5,50,0,7.068,1681300,7.07,706.825,141.365,232.29,0,0,683,138,683,138,683,138,http://localhost:8000/hillshade/local_rast1-small/10/true
rob-desktop,local,PNG,256x256,50,5,50,0,2.506,1821050,19.95,250.573,50.115,709.72,0,0.1,242,55.9,242,55.9,242,55.9,http://localhost:8000/hillshade-con/block_rast1-small/10/true
rob-desktop,local,PNG,256x256,50,5,50,0,7.107,1681300,7.04,710.688,142.138,231.03,0,0,686,155,685,155,686,155,http://localhost:8000/hillshade/block_rast1-small/10/true
rob-desktop,cache,PNG,256x256,50,5,50,0,2.464,1821050,20.29,246.377,49.275,721.81,0,0,239,51.7,239,51.7,239,51.7,http://localhost:8000/hillshade-con/cache_rast1-small/10/true
rob-desktop,cache,PNG,256x256,50,5,50,0,7.001,1681300,7.14,700.082,140.016,234.53,0,0.1,673,108.9,673,108.9,673,108.9,http://localhost:8000/hillshade/cache_rast1-small/10/true
rob-desktop,local,PNG,256x256,50,5,50,0,2.53,1821050,19.76,253.027,50.605,702.84,0,0.1,245,58.4,244,58.4,245,58.4,http://localhost:8000/hillshade-con/local_rast1-small/10/true
rob-desktop,local,PNG,256x256,50,5,50,0,7.082,1681300,7.06,708.241,141.648,231.83,0,0,683,126.4,683,126.4,683,126.4,http://localhost:8000/hillshade/local_rast1-small/10/true
rob-desktop,local,PNG,256x256,50,5,50,0,2.45,1821050,20.4,245.039,49.008,725.75,0,0.1,238,51.3,238,51.4,238,51.3,http://localhost:8000/hillshade-con/block_rast1-small/10/true
rob-desktop,local,PNG,256x256,50,5,50,0,6.831,1681300,7.32,683.111,136.622,240.36,0,0,659,126.6,659,126.6,659,126.6,http://localhost:8000/hillshade/block_rast1-small/10/true
rob-desktop,cache,PNG,256x256,50,5,50,0,2.408,1821050,20.77,240.783,48.157,738.58,0,0,233,53.4,233,53.4,233,53.3,http://localhost:8000/hillshade-con/cache_rast1-small/10/true
rob-desktop,cache,PNG,256x256,50,5,50,0,6.779,1681300,7.38,677.865,135.573,242.22,0,0,652,123.3,652,123.3,652,123.3,http://localhost:8000/hillshade/cache_rast1-small/10/true
rob-desktop,local,PNG,256x256,50,5,50,0,2.353,1821050,21.25,235.33,47.066,755.69,0,0.1,227,51.5,227,51.5,228,51.4,http://localhost:8000/hillshade-con/local_rast1-small/10/true
rob-desktop,local,PNG,256x256,50,5,50,0,6.732,1681300,7.43,673.193,134.639,243.9,0,0,651,149,650,149,651,148.9,http://localhost:8000/hillshade/local_rast1-small/10/true
rob-desktop,local,PNG,256x256,50,5,50,0,2.368,1821050,21.11,236.809,47.362,750.97,0,0.1,229,51.4,229,51.4,229,51.4,http://localhost:8000/hillshade-con/block_rast1-small/10/true
rob-desktop,local,PNG,256x256,50,5,50,0,6.978,1681300,7.17,697.791,139.558,235.3,0,0.1,672,129.1,671,129.1,672,129,http://localhost:8000/hillshade/block_rast1-small/10/true
rob-desktop,cache,PNG,256x256,50,5,50,0,2.629,1821050,19.02,262.898,52.58,676.45,0,0,254,59.7,254,59.7,254,59.7,http://localhost:8000/hillshade-con/cache_rast1-small/10/true
rob-desktop,cache,PNG,256x256,50,5,50,0,7.251,1681300,6.9,725.086,145.017,226.44,0,0,703,155.7,703,155.7,703,155.7,http://localhost:8000/hillshade/cache_rast1-small/10/true
rob-desktop,local,PNG,256x256,50,5,50,0,2.589,1821050,19.31,258.909,51.782,686.87,0,0,251,56.3,250,56.3,251,56.3,http://localhost:8000/hillshade-con/local_rast1-small/10/true
rob-desktop,local,PNG,256x256,50,5,50,0,7.139,1681300,7,713.936,142.787,229.98,0,0,691,159.7,691,159.7,692,159.7,http://localhost:8000/hillshade/local_rast1-small/10/true
rob-desktop,local,PNG,256x256,50,5,50,0,2.477,1821050,20.19,247.658,49.532,718.07,0,0.1,239,57.1,239,57.1,239,57.1,http://localhost:8000/hillshade-con/block_rast1-small/10/true
rob-desktop,local,PNG,256x256,50,5,50,0,6.837,1681300,7.31,683.684,136.737,240.15,0,0,664,153.7,663,153.7,664,153.7,http://localhost:8000/hillshade/block_rast1-small/10/true
rob-desktop,cache,PNG,256x256,50,5,50,0,2.392,1821050,20.91,239.157,47.831,743.6,0,0.1,232,53.7,232,53.7,232,53.7,http://localhost:8000/hillshade-con/cache_rast1-small/10/true
rob-desktop,cache,PNG,256x256,50,5,50,0,6.657,1681300,7.51,665.708,133.142,246.64,0,0.1,645,139.4,645,139.4,645,139.4,http://localhost:8000/hillshade/cache_rast1-small/10/true
rob-desktop,local,PNG,256x256,50,5,50,0,2.315,1821050,21.6,231.49,46.298,768.23,0,0.1,224,49.4,224,49.4,224,49.4,http://localhost:8000/hillshade-con/local_rast1-small/10/true
rob-desktop,local,PNG,256x256,50,5,50,0,6.775,1681300,7.38,677.532,135.506,242.33,0,0,655,152.6,655,152.6,655,152.6,http://localhost:8000/hillshade/local_rast1-small/10/true
rob-desktop,local,PNG,256x256,50,5,50,0,2.38,1821050,21.01,238.006,47.601,747.19,0,0,230,54.5,230,54.5,230,54.4,http://localhost:8000/hillshade-con/block_rast1-small/10/true
rob-desktop,local,PNG,256x256,50,5,50,0,6.81,1681300,7.34,681.04,136.208,241.09,0,0.1,655,114.7,655,114.7,655,114.6,http://localhost:8000/hillshade/block_rast1-small/10/true
rob-desktop,cache,Text,1408x1408,100,100,100,11,128.004,10885,0.78,128003.546,1280.035,0.08,4,0.8,65817,37163.6,65817,37163.6,65821,37163.6,http://localhost:8000/hillshade-con/cache_rast1-med/10/false
rob-desktop,cache,Text,1408x1408,100,100,100,9,382.82,10891,0.26,382820.051,3828.201,0.03,4,0.7,194729,111376.6,194729,111376.5,194733,111376.3,http://localhost:8000/hillshade/cache_rast1-med/10/false
rob-desktop,local,Text,1408x1408,100,100,100,9,137.625,10890,0.73,137625.229,1376.252,0.08,4,0.8,68625,40997.7,68625,40997.7,68629,40997.4,http://localhost:8000/hillshade-con/local_rast1-med/10/false
rob-desktop,local,Text,1408x1408,100,100,100,9,376.585,10891,0.27,376584.935,3765.849,0.03,461,499.5,191837,108697.7,191837,108697.7,192298,109128.8,http://localhost:8000/hillshade/local_rast1-med/10/false
rob-desktop,local,Text,1408x1408,100,100,100,11,121.635,10888,0.82,121635.217,1216.352,0.09,103,300.5,61587,35070.8,61587,35070.8,61689,35226.2,http://localhost:8000/hillshade-con/block_rast1-med/10/false
rob-desktop,local,Text,1408x1408,100,100,100,12,380.815,10887,0.26,380814.593,3808.146,0.03,3,0.7,193938,110930.3,193938,110930.3,193940,110929.9,http://localhost:8000/hillshade/block_rast1-med/10/false
rob-desktop,cache,Text,1408x1408,100,100,100,10,130.259,10890,0.77,130259.266,1302.593,0.08,4,0.8,66966,36401.6,66966,36401.6,66970,36400.8,http://localhost:8000/hillshade-con/cache_rast1-med/10/false
rob-desktop,cache,Text,1408x1408,100,100,100,11,383.894,10889,0.26,383894.457,3838.945,0.03,3,1,196491,112019,196491,112019,196495,112018.1,http://localhost:8000/hillshade/cache_rast1-med/10/false
rob-desktop,local,Text,1408x1408,100,100,100,5,127.426,10895,0.78,127426.249,1274.262,0.08,4,1.2,64301,36164.6,64301,36164.6,64305,36164.1,http://localhost:8000/hillshade-con/local_rast1-med/10/false
rob-desktop,local,Text,1408x1408,100,100,100,98,388.427,10885,0.26,388426.708,3884.267,0.03,3,1,202558,110650.8,202558,110650.8,202561,110650.4,http://localhost:8000/hillshade/local_rast1-med/10/false
rob-desktop,local,Text,1408x1408,100,100,100,13,117.227,10886,0.85,117226.653,1172.267,0.09,3,0.6,60007,33493.3,60007,33493.3,60009,33492.9,http://localhost:8000/hillshade-con/block_rast1-med/10/false
rob-desktop,local,Text,1408x1408,100,100,100,5,378.886,10893,0.26,378885.617,3788.856,0.03,4,0.8,193030,109771.1,193030,109771.1,193034,109770.4,http://localhost:8000/hillshade/block_rast1-med/10/false
rob-desktop,cache,Text,1408x1408,100,100,100,10,118.608,10887,0.84,118607.678,1186.077,0.09,3,0.8,60562,34066.6,60562,34066.6,60565,34066.1,http://localhost:8000/hillshade-con/cache_rast1-med/10/false
rob-desktop,cache,Text,1408x1408,100,100,100,12,376.303,10884,0.27,376303.466,3763.035,0.03,3,0.6,192393,109054.6,192392,109054.6,192396,109054.3,http://localhost:8000/hillshade/cache_rast1-med/10/false
rob-desktop,local,Text,1408x1408,100,100,100,89,118.047,10889,0.85,118047.054,1180.471,0.09,3,0.8,61235,34156.2,61235,34156.2,61238,34155.8,http://localhost:8000/hillshade-con/local_rast1-med/10/false
rob-desktop,local,Text,1408x1408,100,100,100,14,396.856,10890,0.25,396855.643,3968.556,0.03,3,0.9,196648,115427.7,196648,115427.7,196651,115427.3,http://localhost:8000/hillshade/local_rast1-med/10/false
rob-desktop,local,Text,1408x1408,100,100,100,8,121.823,10891,0.82,121822.644,1218.226,0.09,5,1.1,62284,35242.1,62284,35242.2,62289,35241.2,http://localhost:8000/hillshade-con/block_rast1-med/10/false
rob-desktop,local,Text,1408x1408,100,100,100,10,381.632,10889,0.26,381631.627,3816.316,0.03,2,0.5,194593,110387.4,194593,110387.4,194596,110387,http://localhost:8000/hillshade/block_rast1-med/10/false
